0,0.57512,1.7629,2.2058,2.3389,2.0864,1.7257,1.3468,2.2058,1.3287,2.2058,2.2058,1.9611,0.8907,2.2144,2.2058,1.2139,0.85069,0.57852,2.544,2.5694,2.5694,1.6795,1.9412,2.7227,2.7227,1.1156,2.879,0.92244,1.9554
0.57512,0,1.5388,1.8986,2.0082,1.562,2.3002,1.9189,1.8986,1.3966,1.8986,1.8986,1.9036,1.3785,1.9325,1.8986,1.5737,1.2915,0.12943,2.1946,2.1015,2.1015,1.4749,1.7577,2.2978,2.2978,0.59881,2.4788,0.8552,1.5332
1.7629,1.5388,0,3.2468,3.3156,2.4582,3.0934,2.8113,3.2468,2.9322,3.2468,3.2468,3.428,2.6264,3.308,3.2468,2.9757,2.6093,1.6669,0.87844,1.2654,1.2654,0.095085,0.24029,1.2255,1.2255,1.8558,1.2897,0.85375,2.7404
2.2058,1.8986,3.2468,0,0.16031,1.1312,3.5064,3.1323,0,1.3174,0,0,0.92119,2.3511,0.10706,0,2.0738,2.188,1.7879,3.6023,3.1696,3.1696,3.2122,3.4863,3.4818,3.4818,1.4019,3.7112,2.7391,0.57992
2.3389,2.0082,3.3156,0.16031,0,1.1036,3.6637,3.2884,0.16031,1.4777,0.16031,0.16031,1.0658,2.5077,0.235,0.16031,2.234,2.3447,1.9017,3.6354,3.1777,3.1777,3.285,3.5558,3.4954,3.4954,1.4876,3.7264,2.8393,0.59515
2.0864,1.562,2.4582,1.1312,1.1036,0,3.7308,3.3375,1.1312,1.9152,1.1312,1.1312,1.874,2.6305,1.2336,1.1312,2.5562,2.4855,1.5154,2.6169,2.1007,2.1007,2.4507,2.6939,2.4271,2.4271,0.97264,2.6599,2.2162,0.57493
1.7257,2.3002,3.0934,3.5064,3.6637,3.7308,0,0.39333,3.5064,2.2219,3.5064,3.5064,2.8514,1.1571,3.4708,3.5064,1.497,1.3197,2.2875,3.9682,4.1673,4.1673,2.9984,3.1765,4.2526,4.2526,2.7934,4.3628,2.3091,3.4627
1.3468,1.9189,2.8113,3.1323,3.2884,3.3375,0.39333,0,3.1323,1.8661,3.1323,3.1323,2.5136,0.78218,3.1006,3.1323,1.1722,0.94516,1.901,3.6768,3.8351,3.8351,2.7168,2.9154,3.9382,3.9382,2.402,4.0602,1.9967,3.0731
2.2058,1.8986,3.2468,0,0.16031,1.1312,3.5064,3.1323,0,1.3174,0,0,0.92119,2.3511,0.10706,0,2.0738,2.188,1.7879,3.6023,3.1696,3.1696,3.2122,3.4863,3.4818,3.4818,1.4019,3.7112,2.7391,0.57992
1.3287,1.3966,2.9322,1.3174,1.4777,1.9152,2.2219,1.8661,1.3174,0,1.3174,1.3174,0.67825,1.0917,1.2665,1.3174,0.7569,0.93338,1.2713,3.5694,3.3732,3.3732,2.8645,3.1451,3.6166,3.6166,1.3433,3.8169,2.1741,1.4495
2.2058,1.8986,3.2468,0,0.16031,1.1312,3.5064,3.1323,0,1.3174,0,0,0.92119,2.3511,0.10706,0,2.0738,2.188,1.7879,3.6023,3.1696,3.1696,3.2122,3.4863,3.4818,3.4818,1.4019,3.7112,2.7391,0.57992
2.2058,1.8986,3.2468,0,0.16031,1.1312,3.5064,3.1323,0,1.3174,0,0,0.92119,2.3511,0.10706,0,2.0738,2.188,1.7879,3.6023,3.1696,3.1696,3.2122,3.4863,3.4818,3.4818,1.4019,3.7112,2.7391,0.57992
1.9611,1.9036,3.428,0.92119,1.0658,1.874,2.8514,2.5136,0.92119,0.67825,0.92119,0.92119,0,1.7541,0.83085,0.92119,1.3549,1.6007,1.7743,3.9699,3.6702,3.6702,3.3708,3.6543,3.9482,3.9482,1.651,4.1641,2.738,1.3114
